"name","link","desc"
"Application Discovery Agent","https://docs.aws.amazon.com/application-discovery/latest/userguide/discovery-agent.html","The AWS Application Discovery Agent (Discovery Agent) is software that you install on on-premises servers and VMs targeted for discovery and migration"
"Application Discovery Service","https://docs.aws.amazon.com/application-discovery/latest/userguide/what-is-appdiscovery.html","AWS Application Discovery Service helps you plan your migration to the AWS cloud by collecting usage and configuration data about your on-premises servers and databases"
"Migration Hub","https://docs.aws.amazon.com/migrationhub/latest/ug/whatishub.html","AWS Migration Hub (Migration Hub) provides a single place to discover your existing servers, plan migrations, and track the status of each application migration"
"OpenSearch Service","https://docs.aws.amazon.com/opensearch-service/latest/developerguide/what-is.html","Amazon OpenSearch Service is a managed service that makes it easy to deploy, operate, and scale OpenSearch clusters in the AWS Cloud"
"CodeBuild","https://docs.aws.amazon.com/codebuild/latest/userguide/welcome.html","AWS CodeBuild is a fully managed build service in the cloud. CodeBuild compiles your source code, runs unit tests, and produces artifacts that are ready to deploy"
"Database Migration Service","https://docs.aws.amazon.com/dms/latest/userguide/Welcome.html","AWS Database Migration Service (AWS DMS) is a cloud service that makes it possible to migrate relational databases, data warehouses, NoSQL databases, and other types of data stores"
"Compute Optimizer","https://docs.aws.amazon.com/compute-optimizer/latest/ug/what-is-compute-optimizer.html","AWS Compute Optimizer is a service that analyzes the configuration and utilization metrics of your AWS resources."
"Data Lifecycle Manager","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/snapshot-lifecycle.html","You can use Amazon Data Lifecycle Manager to automate the creation, retention, and deletion of EBS snapshots and EBS-backed AMIs"
"Elastic Block Store (Amazon EBS)", "https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AmazonEBS.html","Amazon Elastic Block Store (Amazon EBS) provides block level storage volumes for use with EC2 instances."
"CodeDeploy","https://docs.aws.amazon.com/codedeploy/latest/userguide/welcome.html","CodeDeploy is a deployment service that automates application deployments to Amazon EC2 instances, on-premises instances, serverless Lambda functions, or Amazon ECS services."
"Lambda","https://docs.aws.amazon.com/lambda/latest/dg/welcome.html","AWS Lambda is a compute service that lets you run code without provisioning or managing servers."
"Transfer Family","https://docs.aws.amazon.com/transfer/latest/userguide/what-is-aws-transfer-family.html","AWS Transfer Family is a secure transfer service that enables you to transfer files into and out of AWS storage services."

